,D1367,D1368,D1369,D1370,D1371,D1372,D1373,D1374,D1375,D1376,D1377,D1378,D1379,D1380,D1381,D1382,D1383,D1384,D1385,D1386,D1387,D1388,D1389,D1390,D1391,D1392,D1393,D1394,D1395,D1396,D1397,D1398,D1399,D1400,D1401,D1402,D1403,D1404,D1405,D1406
y0,-7.652774775514439,0.9285181568359964,-6.209222354451503,1.2128690929880226,-4.0000619408933495,1.8360657976729104,-2.9174073011610115,8.227743013756477,7.003609907765267,1.5706604030013018,-5.374251654986894,2.146261611638314,1.138713528530408,2.089276514818076,0.0916793849479065,1.4374865846843914,2.9878558853476482,-5.139647664402707,-1.9997080521577288,2.622333861580148,-5.7754282604151115,-2.0661498717769824,2.1558605456722866,-5.295822075420418,-10.44926259492562,3.287576592093103,8.091785265831916,8.970169508962716,6.092780317798706,-5.011509427820997,4.720007825232294,-4.17180990281642,3.3509142902122093,-1.6787913212132857,2.3965503706858087,0.12887704004186418,-5.347075244723076,1.6599308432945463,1.7787172477715494,-2.8373211484859944
y1,0.9370134821778238,-0.9869320886515023,-0.7841535405951241,0.738686845100792,-0.06278507612808948,0.3477041292721834,0.05023249005770758,-0.31843168541958944,-1.2068330221246943,1.285498466310632,-0.5051082310433075,0.4116005458310159,1.3865278653088717,-1.293020180096594,1.9484407176107315,-1.1868125575215633,-1.4221433562095238,0.02469666699159312,0.2249723308331273,0.41084619829568414,-2.086896628270622,-4.876807959133078,0.22233112155435641,-1.2645881736616729,-7.197117256845766,2.424635804116794,5.268743621049565,4.316141463219352,5.027253250120924,-1.8336952421497226,-0.4105155081220353,-1.6487092161347974,-1.9706162945955228,0.6155473256783175,1.7609914107347144,1.6389531829181827,0.6235277072337659,0.030101991525341987,-2.7565422764587737,2.1172616772210517
y2,16.435315037945628,1.3037018490960293,-1.0795485309927209,-5.602200803224058,5.727463953975188,2.3480945302830047,-10.009407558162756,-9.291803598559447,2.529543389325969,-2.3611582696867615,36.79226118739584,-17.085247883814787,-10.474079151135825,-9.232934152444876,-0.4507038603988871,-0.37616712452640666,-1.227229956746613,0.4016077106145639,1.422280951335578,0.2302122797219317,0.5638387121807193,-0.7825475557282586,0.12602739379071082,-0.539855039820405,-0.338858090062899,1.1356381089244278,-0.19092466101372407,0.25501610532824337,-0.5972580542789934,0.36892308068019286,-0.19631968820057288,0.3468638626849767,-0.9605978982725496,-0.18772129736970555,0.347036896487114,0.9625356407384746,-0.5045329508235898,0.153013699374128,0.39460292896469085,-0.3548811935829903
y3,0.5141787398194104,-1.527184577858275,1.9827689502997483,0.3215449164518125,2.2644733625585474,-0.8160822401709713,2.433848566818435,-1.1739366908840418,-3.681485340802887,-0.3181256862316779,-0.02331902658877022,-0.3402786709591872,0.01577616648874719,0.3478215310592215,-0.45834704003295257,0.6743579285749743,0.1297510227328551,2.394167731732842,-0.8041415173029804,-1.9357881257046192,-5.3261866268232465,0.9972677248940602,-1.1652965522699539,0.8445421090738119,-3.8775940074763486,-0.2554366796097316,1.4321459498237292,0.7113816533403661,5.644574908190689,0.994601520856742,0.9590235650245447,-1.1895539438340563,-0.5955773362562593,2.3964241783214386,0.7224454816473151,-0.06104354091913622,-1.2298738498232986,0.8833339850198314,-2.2248989442615787,0.33972040508130386
y4,0.8374953041965139,-1.6075987631263713,1.979608609770625,0.18208679374552972,3.083339543072926,-1.59384954436499,3.1403006046855344,-1.0079941928113239,-2.623703801182161,-2.389684553986321,2.2508436897109196,-1.0460087496865391,-1.2298705830565133,0.02503564303213695,-0.28695301982454624,-1.7081070977482935,-2.0480559227132655,2.0580485703919136,1.5542668678922817,0.4308006020018311,1.2493491044174423,-0.1398070977410768,0.4895881743601418,-0.5816734931457237,2.3675195769227715,0.9956643365036637,-2.2083799190633684,-1.3973048450427292,1.419603349216886,-2.1945591864280924,-3.2195588886865707,0.03234311962563563,0.05904722099249815,0.13143449942979313,3.279833567395082,1.3413105269584067,-0.10604591395852614,-1.9584887314726762,1.0146282007775302,-0.5745036010612754
y5,15.318106217630595,10.446242250617212,-5.135035092020381,-5.179274352688129,-8.887801330742768,-5.546871547245306,-0.14461915267694536,-1.3415885578237052,0.7696982083942494,-0.2988566434449176,2.779729924346459,0.7006770088794032,-3.110499045881696,-0.3699078873441617,-0.1003635813373499,0.3664796709297742,-0.23496298340081234,0.1300101379774801,-0.08758196202360141,-0.07358128214552567,0.2187008549643587,0.21870085496436137,0.21870085496436287,-0.727770970356004,-1.0630885776457228,0.2187008549643546,-0.16896599161704873,0.2187008549643602,0.41517379138407384,0.45114747341288114,0.39088706443041055,0.39088706443041027,-1.0238904639051745,0.4761840796070045,0.5165198387854855,0.39088706443040205,-0.6724188413598693,0.0032202178489929567,0.3908870644304102,-0.8631630886981063
y6,-2.3670346883389755,5.6339427304031275,-1.3486084145932722,-0.5805231380926159,-3.883498542923885,-0.26932320284236155,-4.4268299334258,4.567859271942531,3.1167854661018897,-0.44276954823076764,1.5163763241188626,-1.5408371524629878,-2.281860843845436,2.30632167218986,1.45932166339108,0.30142347149071824,0.9432067673994808,1.037344085267467,-1.4951833463912827,-2.246112641157577,-1.4865171409058107,-0.4382795123917269,0.8001486658692256,1.7284445298716342,-0.2245563945404001,-4.415095369276557,0.791048719310524,0.10221522605869993,0.8077615667458264,2.3348297092583508,-0.21479808891892294,-0.3739485379285181,2.2266318711721613,1.2461290927183963,-3.0052600867802166,-5.65450855826926,1.7997070094943806,-0.41564887594586164,2.674015026141695,1.7176811483160126
y7,-3.0579408038926834,-0.5078733443827206,-2.5685766162812413,-0.8847268478500627,3.9127782366923554,-0.0050997878482323955,-2.3883965100430107,3.5180317338202487,3.2740015759557326,-1.2921976361704406,-1.8671699328185403,-2.0415326290047324,1.9510391274207097,1.957663434402581,3.221849902476039,3.318591127709357,3.1964252631851644,-3.391757372446768,-2.9301550831436423,-3.414953837780196,-1.0330797207507492,0.5705957311201098,-1.2913330752969552,-1.4443247565283581,0.4191933916242192,-2.127936761561905,3.378747722625028,3.464958654334437,-0.5266541621255167,-1.41016702344037,2.4106003613415785,3.599704062410195,-2.910600474807416,2.8236140363666618,2.486551210881398,-3.1583074824217316,-1.4507206924840768,2.7108449972498287,-3.199215207660237,-3.312470810876256
y8,0.48316788575837055,-2.040651384314245,3.451937000123193,-0.3342300798516211,3.052603360301207,-1.4814587671514978,3.652940269955046,-1.3929122577128048,-4.50811740363415,-0.8832786234734407,-0.08455529800906009,-0.08455529800906111,-0.08455529800906192,0.2536658940271994,-1.42153863915117,-0.6523081390303047,-0.11822177708129084,2.5820817651137147,-0.6257584116774361,0.23574520182650482,2.0975246182939067,-2.576505500214487,1.3877383938060717,-0.25166283799642875,-0.7271072430529526,3.1802821286467613,-0.19529081633620765,0.17090878574463236,-2.2428718099798943,-0.843015718911391,0.003537043806841833,1.3775726036767613,-3.1801372903562557,-0.4211956319109771,-0.0041599673468883935,0.16827912529316125,0.939421047716364,0.7990465699705247,-0.7001307724838095,1.0177672716343094
y9,0.04496167027226142,0.23295610403998263,1.2458941001170065,0.5005665115387629,-1.5998357589687622,-0.24285490150463435,-2.7745382123106146,0.6447972625980241,-0.19015099736690483,2.1382042215848758,3.684480321773568,-2.252945625448282,-3.0885014772764947,1.6569667809512953,-2.6682516004108043,-1.8134530921083192,2.0288532386995186,0.482677162320587,-1.7217099464325658,3.6918842379315633,0.10070905575503653,1.6469441951104282,1.153287599610155,-0.5236797281485703,0.059622297227797105,-2.354930294923092,-0.94412403603418,0.5541648509160273,0.17444772445483425,0.13355833603149536,-1.6354096067841888,-0.8806408850197784,-1.380255161689349,-0.1160954646744321,-0.11795306303033892,-0.3976402062317801,1.0494320860955701,0.537823927035095,3.7009592549053876,-0.7602208806062123
